Model,Epochs,Batch Size,Hidden Size,Learning Rate,Accuracy,Predict 1000 Acc,Predict 1000 Time
lstm,10,256,128,0.001,0.8571428571428571,0.842,0.042569875717163086
lstm,10,256,128,0.0001,0.7797998180163785,0.772,0.04501199722290039
lstm,10,256,256,0.001,0.8639672429481347,0.817,0.09253406524658203
lstm,10,256,256,0.0001,0.8184713375796179,0.85,0.09351277351379395
lstm,10,512,128,0.001,0.8475887170154686,0.867,0.044991493225097656
lstm,10,512,128,0.0001,0.6856232939035487,0.667,0.03852581977844238
lstm,10,512,256,0.001,0.848498635122839,0.852,0.08549952507019043
lstm,10,512,256,0.0001,0.7302092811646952,0.752,0.09254646301269531
lstm,20,256,128,0.001,0.8521383075523203,0.848,0.04253411293029785
lstm,20,256,128,0.0001,0.8107370336669699,0.823,0.03950762748718262
lstm,20,256,256,0.001,0.8557779799818016,0.815,0.08997964859008789
lstm,20,256,256,0.0001,0.8503184713375797,0.828,0.0955345630645752
lstm,20,512,128,0.001,0.8616924476797089,0.826,0.04250931739807129
lstm,20,512,128,0.0001,0.7797998180163785,0.754,0.04055285453796387
lstm,20,512,256,0.001,0.8539581437670609,0.822,0.11789631843566895
lstm,20,512,256,0.0001,0.8503184713375797,0.853,0.10037755966186523
gru,10,256,128,0.001,0.8685168334849863,0.839,0.05001950263977051
gru,10,256,128,0.0001,0.802547770700637,0.767,0.0399937629699707
gru,10,256,256,0.001,0.8744313011828936,0.805,0.10730552673339844
gru,10,256,256,0.0001,0.8425841674249318,0.858,0.16551804542541504
gru,10,512,128,0.001,0.8585077343039127,0.852,0.05846238136291504
gru,10,512,128,0.0001,0.66196542311192,0.676,0.0562739372253418
gru,10,512,256,0.001,0.8735213830755232,0.825,0.09432458877563477
gru,10,512,256,0.0001,0.7807097361237488,0.797,0.10335969924926758
gru,20,256,128,0.001,0.8689717925386715,0.853,0.04999971389770508
gru,20,256,128,0.0001,0.8580527752502275,0.861,0.04406857490539551
gru,20,256,256,0.001,0.8717015468607825,0.846,0.1070711612701416
gru,20,256,256,0.0001,0.8657870791628753,0.858,0.17686223983764648
gru,20,512,128,0.001,0.856687898089172,0.825,0.08926200866699219
gru,20,512,128,0.0001,0.8266606005459509,0.82,0.04427027702331543
gru,20,512,256,0.001,0.8689717925386715,0.837,0.1457817554473877
gru,20,512,256,0.0001,0.862147406733394,0.872,0.10642600059509277
rnn,10,256,128,0.001,0.8735213830755232,0.835,0.03717231750488281
rnn,10,256,128,0.0001,0.818926296633303,0.827,0.040679931640625
rnn,10,256,256,0.001,0.8680618744313012,0.866,0.05046367645263672
rnn,10,256,256,0.0001,0.8507734303912647,0.841,0.051043033599853516
rnn,10,512,128,0.001,0.8776160145586898,0.861,0.03988814353942871
rnn,10,512,128,0.0001,0.7661510464058234,0.726,0.04264974594116211
rnn,10,512,256,0.001,0.8707916287534122,0.86,0.04640507698059082
rnn,10,512,256,0.0001,0.8503184713375797,0.844,0.09217643737792969
rnn,20,256,128,0.001,0.8694267515923567,0.838,0.049260616302490234
rnn,20,256,128,0.0001,0.8530482256596906,0.866,0.046546220779418945
rnn,20,256,256,0.001,0.864877161055505,0.858,0.05042314529418945
rnn,20,256,256,0.0001,0.87852593266606,0.848,0.05787968635559082
rnn,20,512,128,0.001,0.8748862602365787,0.838,0.044434547424316406
rnn,20,512,128,0.0001,0.8366696997270245,0.809,0.0484004020690918
rnn,20,512,256,0.001,0.8694267515923567,0.847,0.04658627510070801
rnn,20,512,256,0.0001,0.8498635122838945,0.844,0.053237199783325195
cnn,10,256,128,0.001,0.899909008189263,0.891,0.03978586196899414
cnn,10,256,128,0.0001,0.8585077343039127,0.855,0.05874443054199219
cnn,10,256,256,0.001,0.8971792538671519,0.876,0.04816102981567383
cnn,10,256,256,0.0001,0.8835304822565969,0.881,0.039083003997802734
cnn,10,512,128,0.001,0.8949044585987261,0.902,0.04330158233642578
cnn,10,512,128,0.0001,0.8539581437670609,0.823,0.04317903518676758
cnn,10,512,256,0.001,0.8930846223839854,0.885,0.051665544509887695
cnn,10,512,256,0.0001,0.8798908098271155,0.855,0.03808879852294922
cnn,20,256,128,0.001,0.8953594176524113,0.872,0.03205752372741699
cnn,20,256,128,0.0001,0.8817106460418562,0.891,0.03448820114135742
cnn,20,256,256,0.001,0.8976342129208371,0.89,0.04373812675476074
cnn,20,256,256,0.0001,0.8971792538671519,0.899,0.03885221481323242
cnn,20,512,128,0.001,0.8953594176524113,0.889,0.038956642150878906
cnn,20,512,128,0.0001,0.8653321201091901,0.875,0.03396916389465332
cnn,20,512,256,0.001,0.8912647861692448,0.897,0.03977489471435547
cnn,20,512,256,0.0001,0.8985441310282075,0.892,0.044097185134887695
gated_cnn,10,256,128,0.001,0.8912647861692448,0.884,0.040256500244140625
gated_cnn,10,256,128,0.0001,0.8589626933575978,0.868,0.05103588104248047
gated_cnn,10,256,256,0.001,0.89171974522293,0.867,0.04497385025024414
gated_cnn,10,256,256,0.0001,0.8858052775250227,0.877,0.052911996841430664
gated_cnn,10,512,128,0.001,0.89171974522293,0.891,0.04012417793273926
gated_cnn,10,512,128,0.0001,0.8535031847133758,0.84,0.04020047187805176
gated_cnn,10,512,256,0.001,0.8976342129208371,0.904,0.038518667221069336
gated_cnn,10,512,256,0.0001,0.8789808917197452,0.877,0.04553985595703125
gated_cnn,20,256,128,0.001,0.8944494995450409,0.879,0.03746390342712402
gated_cnn,20,256,128,0.0001,0.8780709736123748,0.89,0.04082489013671875
gated_cnn,20,256,256,0.001,0.8898999090081893,0.876,0.043641090393066406
gated_cnn,20,256,256,0.0001,0.9030937215650592,0.892,0.05356335639953613
gated_cnn,20,512,128,0.001,0.8776160145586898,0.878,0.04082632064819336
gated_cnn,20,512,128,0.0001,0.867606915377616,0.855,0.044626712799072266
gated_cnn,20,512,256,0.001,0.9035486806187443,0.876,0.04456353187561035
gated_cnn,20,512,256,0.0001,0.8889899909008189,0.869,0.0436098575592041
rcnn,10,256,128,0.001,0.8780709736123748,0.853,0.04576826095581055
rcnn,10,256,128,0.0001,0.8598726114649682,0.854,0.036164045333862305
rcnn,10,256,256,0.001,0.8880800727934486,0.879,0.0592188835144043
rcnn,10,256,256,0.0001,0.873066424021838,0.871,0.04685044288635254
rcnn,10,512,128,0.001,0.8880800727934486,0.881,0.04052901268005371
rcnn,10,512,128,0.0001,0.8111919927206551,0.81,0.03924822807312012
rcnn,10,512,256,0.001,0.8798908098271155,0.86,0.06108260154724121
rcnn,10,512,256,0.0001,0.8717015468607825,0.86,0.047548770904541016
rcnn,20,256,128,0.001,0.8830755232029117,0.858,0.036176443099975586
rcnn,20,256,128,0.0001,0.8771610555050046,0.869,0.040940284729003906
rcnn,20,256,256,0.001,0.8889899909008189,0.884,0.0466763973236084
rcnn,20,256,256,0.0001,0.881255686988171,0.869,0.0575709342956543
rcnn,20,512,128,0.001,0.8803457688808007,0.876,0.036856651306152344
rcnn,20,512,128,0.0001,0.8521383075523203,0.869,0.04170036315917969
rcnn,20,512,256,0.001,0.8789808917197452,0.866,0.0454258918762207
rcnn,20,512,256,0.0001,0.8739763421292084,0.88,0.04733848571777344
bert,10,256,128,0.001,0.8935395814376706,0.864,0.10794806480407715
bert,10,256,128,0.0001,0.9017288444040037,0.904,0.1026611328125
bert,10,256,256,0.001,0.8903548680618745,0.89,0.11377859115600586
bert,10,256,256,0.0001,0.8953594176524113,0.893,0.10477828979492188
bert,10,512,128,0.001,0.8867151956323931,0.874,0.10126638412475586
bert,10,512,128,0.0001,0.8994540491355778,0.893,0.09982633590698242
bert,10,512,256,0.001,0.8958143767060964,0.892,0.11539459228515625
bert,10,512,256,0.0001,0.8980891719745223,0.886,0.10746192932128906
bert,20,256,128,0.001,0.8985441310282075,0.848,0.10489988327026367
bert,20,256,128,0.0001,0.8844404003639672,0.898,0.11012601852416992
bert,20,256,256,0.001,0.8844404003639672,0.853,0.1087636947631836
bert,20,256,256,0.0001,0.8976342129208371,0.876,0.10379672050476074
bert,20,512,128,0.001,0.8935395814376706,0.865,0.1039743423461914
bert,20,512,128,0.0001,0.8935395814376706,0.881,0.10036420822143555
bert,20,512,256,0.001,0.8853503184713376,0.891,0.10112905502319336
bert,20,512,256,0.0001,0.8844404003639672,0.875,0.10014462471008301
bert_cnn,10,256,128,0.001,0.892174704276615,0.879,0.5978691577911377
bert_cnn,10,256,128,0.0001,0.8930846223839854,0.905,0.2399301528930664
bert_cnn,10,256,256,0.001,0.892174704276615,0.884,0.682715654373169
bert_cnn,10,256,256,0.0001,0.8971792538671519,0.89,0.9783082008361816
bert_cnn,10,512,128,0.001,0.9067333939945404,0.839,1.133655309677124
bert_cnn,10,512,128,0.0001,0.9003639672429481,0.903,0.199615478515625
bert_cnn,10,512,256,0.001,0.9071883530482256,0.852,3.1501076221466064
bert_cnn,10,512,256,0.0001,0.8939945404913557,0.888,3.1534171104431152
bert_cnn,20,256,128,0.001,0.8935395814376706,0.876,0.11798620223999023
bert_cnn,20,256,128,0.0001,0.9035486806187443,0.874,3.4851348400115967
bert_cnn,20,256,256,0.001,0.8976342129208371,0.898,1.2981033325195312
bert_cnn,20,256,256,0.0001,0.8908098271155596,0.868,0.3259916305541992
bert_cnn,20,512,128,0.001,0.9030937215650592,0.894,0.6257226467132568
bert_cnn,20,512,128,0.0001,0.8876251137397634,0.848,0.8791117668151855
bert_cnn,20,512,256,0.001,0.8985441310282075,0.869,1.260493516921997
bert_cnn,20,512,256,0.0001,0.8880800727934486,0.884,1.4762797355651855
