Model,Learning Rate,Hidden Size,Batch Size,Accuracy,Runtime
gated_cnn,0.001,128,64,0.8653044203502919,19.79912304878235
gated_cnn,0.001,128,128,0.8861551292743953,13.872132539749146
gated_cnn,0.001,256,64,0.8640533778148457,30.33167266845703
gated_cnn,0.001,256,128,0.8794829024186822,22.814774990081787
gated_cnn,0.0001,128,64,0.8790658882402002,19.891438245773315
gated_cnn,0.0001,128,128,0.8561301084236864,13.80207896232605
gated_cnn,0.0001,256,64,0.8840700583819849,30.755383491516113
gated_cnn,0.0001,256,128,0.8790658882402002,22.218288898468018
rnn,0.001,128,64,0.8628023352793995,72.19794869422913
rnn,0.001,128,128,0.8636363636363636,68.81457209587097
rnn,0.001,256,64,0.8732276897414513,117.16397881507874
rnn,0.001,256,128,0.816930775646372,111.52561616897583
rnn,0.0001,128,64,0.8515429524603837,76.74308323860168
rnn,0.0001,128,128,0.8502919099249374,72.56298184394836
rnn,0.0001,256,64,0.8665554628857381,120.95419716835022
rnn,0.0001,256,128,0.859466221851543,115.32210183143616
cnn,0.001,128,64,0.8698915763135947,12.548760890960693
cnn,0.001,128,128,0.8786488740617181,9.106931209564209
cnn,0.001,256,64,0.8694745621351125,18.399474143981934
cnn,0.001,256,128,0.8661384487072561,13.607563257217407
cnn,0.0001,128,64,0.8527939949958299,11.975538730621338
cnn,0.0001,128,128,0.8507089241034195,8.731452465057373
cnn,0.0001,256,64,0.8753127606338615,16.850508213043213
cnn,0.0001,256,128,0.8665554628857381,13.606441020965576
lstm,0.001,128,64,0.8698915763135947,77.72990489006042
lstm,0.001,128,128,0.8711426188490409,72.30111837387085
lstm,0.001,256,64,0.8648874061718098,181.76947832107544
lstm,0.001,256,128,0.8665554628857381,162.92454433441162
lstm,0.0001,128,64,0.853628023352794,84.40566086769104
lstm,0.0001,128,128,0.8298582151793161,74.32111954689026
lstm,0.0001,256,64,0.8690575479566305,170.43186402320862
lstm,0.0001,256,128,0.8515429524603837,163.818989276886
bert,0.001,128,64,0.8611342785654712,765.6936402320862
bert,0.001,128,128,0.8623853211009175,622.8608636856079
bert,0.001,256,64,0.8565471226021685,779.4249269962311
bert,0.001,256,128,0.872393661384487,673.3269064426422
bert,0.0001,128,64,0.877814845704754,818.4124722480774
bert,0.0001,128,128,0.8728106755629691,672.9077401161194
bert,0.0001,256,64,0.8853211009174312,817.3134293556213
bert,0.0001,256,128,0.8786488740617181,675.1432197093964
